City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
310,Nioro,GM,2022-07-06 07:32:46,13.35,-15.75,79.39,78,100.0,6.15
311,Atuona,PF,2022-07-06 07:32:46,-9.8,-139.0333,77.34,71,8.0,24.67
312,Bathsheba,BB,2022-07-06 07:32:47,13.2167,-59.5167,81.21,83,20.0,19.57
313,Necochea,AR,2022-07-06 07:32:47,-38.5473,-58.7368,41.04,76,66.0,11.74
314,Santa Vitoria,BR,2022-07-06 07:32:48,-18.8386,-50.1214,62.19,59,0.0,4.18
315,Kembe,CF,2022-07-06 07:32:48,4.6228,21.8865,73.58,90,97.0,1.81
316,Chapais,CA,2022-07-06 07:32:48,49.7834,-74.8492,47.98,71,51.0,5.59
317,Tonj,SS,2022-07-06 07:32:49,7.2737,28.6822,84.79,55,10.0,5.73
318,Inhambane,MZ,2022-07-06 07:32:49,-23.865,35.3833,67.98,83,20.0,0.0
319,Sola,VU,2022-07-06 07:32:50,-13.8833,167.55,81.25,76,99.0,15.55
320,Nanortalik,GL,2022-07-06 07:32:50,60.1432,-45.2371,43.88,87,86.0,4.34
321,Kaihua,CN,2022-07-06 07:32:51,23.3687,104.28,83.66,55,39.0,6.51
322,Aguimes,ES,2022-07-06 07:32:51,27.9054,-15.4461,66.83,68,75.0,28.77
323,Gizo,SB,2022-07-06 07:32:51,-8.103,156.8419,83.19,72,100.0,3.6
324,Cherskiy,RU,2022-07-06 07:32:52,68.75,161.3,43.95,71,100.0,13.69
325,Kapaa,US,2022-07-06 07:32:52,22.0752,-159.319,77.32,78,75.0,17.27
326,Wad Madani,SD,2022-07-06 07:31:11,14.4012,33.5199,94.98,33,15.0,14.16
327,Tazovskiy,RU,2022-07-06 07:32:53,67.4667,78.7,60.01,69,51.0,10.74
328,Grindavik,IS,2022-07-06 07:32:53,63.8424,-22.4338,53.55,93,0.0,9.22
329,Lagoa,PT,2022-07-06 07:32:54,39.05,-27.9833,65.39,78,100.0,12.64
330,Kirensk,RU,2022-07-06 07:32:54,57.7853,108.1119,72.66,46,96.0,7.38
331,Pochutla,MX,2022-07-06 07:32:54,15.7432,-96.4661,76.82,93,95.0,4.23
332,Tagusao,PH,2022-07-06 07:32:55,9.1924,117.8141,85.15,71,92.0,8.77
333,Daru,PG,2022-07-06 07:32:55,-9.0763,143.2092,78.64,88,100.0,16.08
