City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Ilulissat,GL,69.2167,-51.1,41.02,87,75,2.3,broken clouds
92,Busselton,AU,-33.65,115.3333,54.66,77,100,8.48,overcast clouds
93,Leningradskiy,RU,69.3833,178.4167,34.63,91,100,12.15,overcast clouds
94,Cidreira,BR,-30.1811,-50.2056,63.95,84,100,3.51,overcast clouds
95,Thinadhoo,MV,0.5333,72.9333,82.54,78,95,9.37,overcast clouds
96,Vodnyy,RU,63.5046,53.4095,72.91,63,51,3.8,broken clouds
97,Jamestown,US,42.097,-79.2353,67.59,87,0,6.91,clear sky
98,Kazuno,JP,40.1836,140.7872,81.64,60,30,7.85,scattered clouds
99,Touros,BR,-5.1989,-35.4608,74.14,93,55,9.93,broken clouds
100,Atikokan,CA,48.7555,-91.6216,63.23,56,57,9.53,broken clouds
101,Bredasdorp,ZA,-34.5322,20.0403,46.35,76,13,5.97,few clouds
102,Elat,IL,29.5581,34.9482,80.44,34,0,8.05,clear sky
103,Takoradi,GH,4.8845,-1.7554,75.6,89,93,6.96,overcast clouds
104,Sumbawanga,TZ,-7.9667,31.6167,49.14,68,4,4.21,clear sky
105,Sabzevar,IR,36.2126,57.6819,70.88,33,0,18.41,clear sky
106,Pointe Michel,DM,15.25,-61.3833,80.74,77,97,13.96,overcast clouds
107,Estelle,US,29.8458,-90.1067,84.2,77,75,0.0,broken clouds
108,Hobart,AU,-42.8794,147.3294,56.26,62,20,3.0,few clouds
109,Qaanaaq,GL,77.484,-69.3632,40.24,95,100,1.57,overcast clouds
110,Vaini,TO,-21.2,-175.2,77.16,69,20,6.91,few clouds
111,Nyagan,RU,62.1406,65.3936,69.84,61,35,3.29,scattered clouds
112,San Julian,MX,21.0167,-102.1667,69.33,41,73,6.29,broken clouds
113,Luis Gil Perez,MX,17.8667,-93.05,79.92,89,99,2.91,overcast clouds
114,Chernihiv,UA,51.0,32.0,59.36,93,52,10.76,broken clouds
115,Biscarrosse,FR,44.3945,-1.1672,58.95,94,0,3.44,clear sky
116,New Norfolk,AU,-42.7826,147.0587,55.92,73,37,5.99,scattered clouds
117,Burgeo,CA,47.6167,-57.6152,56.43,97,100,27.98,overcast clouds
118,Inhambane,MZ,-23.865,35.3833,61.61,80,0,4.05,clear sky
119,Rio Gallegos,AR,-51.6226,-69.2181,17.65,100,20,3.44,fog
120,Guines,FR,50.8671,1.8703,64.92,89,26,11.5,scattered clouds
121,Chokurdakh,RU,70.6333,147.9167,64.08,33,95,12.84,overcast clouds
122,Sioux Lookout,CA,50.1001,-91.917,66.27,72,100,3.44,overcast clouds
123,Coquimbo,CL,-29.9533,-71.3436,51.53,81,0,11.5,clear sky
124,Tevriz,RU,57.509,72.4042,67.51,64,15,6.6,few clouds
125,Batangafo,CF,7.3008,18.2833,69.93,96,100,2.75,overcast clouds
126,Nantucket,US,41.2835,-70.0995,71.02,87,0,4.61,clear sky
